elig,lwage,vet,yob
0,6.2146001,0,53
1,5.6645999,0,50
0,5.8646002,0,50
0,4.6613002,0,52
0,4.8283,0,52
1,5.4004002,1,50
1,5.3225002,0,53
0,5.4903002,0,50
0,5.5215001,0,52
1,7.0900998,1,51
0,5.1978002,0,50
0,5.6645999,0,50
1,4.2522998,0,53
0,5.5297999,0,50
0,6.2714,0,50
0,5.5591998,0,51
1,5.6645999,0,50
1,4.6051998,1,50
0,5.4608002,0,53
0,4.0879002,0,51
0,5.7291002,0,51
0,5.1883998,0,50
0,4.8099999,1,51
1,5.2182999,1,52
1,5.7672,0,50
0,5.7897,0,52
1,5.7353001,0,51
1,5.1627002,0,53
1,5.5956001,0,50
1,5.9521999,1,52
0,5.586,1,52
0,5.7779002,0,52
0,5.5377002,1,51
0,5.0359998,0,53
0,5.4074998,0,52
1,5.8634,1,50
0,5.0106001,1,50
1,5.6645999,0,51
0,5.6645999,0,53
1,5.2591,1,52
0,5.4414001,0,51
0,4.7536001,0,50
0,5.2982998,0,53
0,4.5658998,0,53
0,4.9713998,0,51
0,5.4414001,0,50
0,5.4414001,0,50
1,5.7838001,0,52
1,6.5022998,1,50
1,5.2591,0,53
0,5.0429001,0,50
0,5.9268999,1,50
0,5.5591998,0,53
0,5.9092002,0,52
0,5.8288999,0,50
0,3.6496999,0,50
1,5.8469,0,53
0,6.0833001,0,50
0,5.1160002,0,52
0,5.7695999,0,52
0,5.0433998,0,52
0,5.0359998,0,51
0,6.092,0,51
1,5.2591,0,50
0,5.8091002,0,53
0,4.8993001,0,53
1,4.5658998,0,52
0,4.8415999,0,52
1,5.8469,0,50
1,4.5809999,0,50
0,6.2146001,0,50
1,6.8685002,0,51
0,5.6645999,0,50
0,5.3544002,0,50
1,5.684,0,52
0,5.901,1,51
0,6.1327,0,50
0,6.092,0,50
0,5.8579001,0,52
0,5.7038002,0,51
0,5.8140998,0,53
0,5.4161,0,52
0,5.2470002,1,50
0,5.2771001,0,50
0,5.6645999,0,51
1,5.9401999,0,51
1,5.7350001,0,53
1,5.8469,1,53
0,4.6809001,0,50
0,5.6645999,0,53
1,5.0514998,1,51
0,5.8469,1,52
1,5.5956001,0,51
0,5.0966001,1,50
1,6.0521002,0,50
0,5.8469,1,50
1,4.8283,0,51
0,4.4228001,0,53
0,6.0009999,0,50
1,2.9956999,1,53
0,5.7897,0,50
1,5.4208999,1,53
0,5.1198001,0,53
1,5.6645999,0,52
1,5.6237001,0,53
0,5.7526002,0,51
0,5.3544002,0,50
0,5.8469,0,53
0,5.3544002,0,50
1,5.1746001,0,53
0,4.6241999,0,52
0,5.8871002,0,53
0,5.7599001,0,50
0,4.6051998,0,53
0,5.1160002,0,51
1,5.5215001,0,50
0,3.1781001,0,52
0,5.8607998,0,53
1,5.6645999,1,50
0,6.0655999,0,51
0,5.8399,0,50
0,4.7874999,0,52
0,6.4296999,0,50
0,6.8685002,1,50
0,6.4541998,1,50
0,5.2786002,0,52
0,5.3544002,1,53
0,5.6438999,1,52
0,5.7164998,0,52
0,6.244,0,51
0,5.7728,1,53
1,6.0387001,0,51
0,5.6974001,0,53
0,5.6645999,0,51
0,5.0359998,0,50
1,6.2146001,0,53
0,5.6932998,0,50
0,5.5215001,0,52
1,4.7104998,0,50
0,5.5215001,0,52
